Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\WordStorm Display\Project Outputs for WordStorm Display\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       23/11/24
Time:       20:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                                                                  
C14        GRM188R72A104MA35J TopLayer 0603            173.9970     19.1160      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C13        GRM188R72A104MA35J TopLayer 0603            173.9970     20.6400      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C12        GRM188R72A104MA35J TopLayer 0603            173.9970     23.6880      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C11        GRM188R72A104MA35J TopLayer 0603            173.9970     27.3710      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C10        GRM188R72A104MA35J TopLayer 0603            179.3310     31.9430      270      "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C9         GRM188R72A104MA35J TopLayer 0603            186.4430     31.9430      270      "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C8         GRM188R72A104MA35J TopLayer 0603            189.6180     31.9430      270      "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C7         GRM188R72A104MA35J TopLayer 0603            177.8070     31.9430      270      "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C6         GRM188R72A104MA35J TopLayer 0603            173.9970     25.2120      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
C5         GRM188R72A104MA35J TopLayer 0603            173.9970     22.1640      0        "0.1 µF ±20% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"                                  
